classe,f1_medio,f1_desvio
0,0.28747511739795406,0.1302297048891853
1,0.7458003199489307,0.25257081406962256
2,0.6665689305399736,0.4196018736685728
3,0.7903191784371603,0.3953013643757489
4,0.7410716593884235,0.10937710245393222
5,0.806800470479814,0.14495840750346264
6,0.8222927896152031,0.20226266822794478
7,0.9294582711055529,0.084712341336382
8,0.8880794030774792,0.11404916301375426
9,0.7448447201387618,0.357914774797369
10,0.7460764083581404,0.21330562163255604
11,0.7337864543805471,0.2571336184080999
12,0.20760051351844977,0.1959647426854793
