fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.6434745225948414,0.6434745225948414,0.7171296531410289,24
1,0.7074255733996396,0.7074255733996396,0.7916201740682883,24
2,0.5405982173151238,0.5405982173151238,0.6137808091768718,24
3,0.7870328867637366,0.7870328867637366,0.8415456160518341,24
4,0.6925550594334725,0.6925550594334725,0.7784845060057297,24
5,0.8352410733926336,0.8352410733926336,0.8963194350129023,24
6,0.6424638643697255,0.6424638643697255,0.7104666705410588,24
7,0.6346270576715477,0.6346270576715477,0.7046143758708303,24
8,0.736444379943134,0.736444379943134,0.7763907139728428,24
9,0.7879637007979843,0.7879637007979843,0.8193796394485684,24
