run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
occ,0,"[0, 2]",7458,2468,408,237
occ,1,"[0, 3]",6806,3120,408,237
occ,2,"[0, 4]",7459,2467,408,237
occ,3,"[0, 5]",7525,2401,408,237
occ,4,"[0, 6]",7474,2452,408,237
occ,5,"[1, 2]",6141,3785,408,237
occ,6,"[1, 3]",5489,4437,408,237
occ,7,"[1, 4]",6142,3784,408,237
occ,8,"[1, 5]",6208,3718,408,237
occ,9,"[1, 6]",6157,3769,408,237
