score_x_acc,score_x_gyro,score_y_acc,score_y_gyro,score_z_acc,score_z_gyro,x_acc,x_gyro,y_acc,y_gyro,z_acc,z_gyro,n_test
0.20038268007004426,0.025558388866507752,0.007069799755841891,0.0254872817689931,0.169928130104858,0.0108963974493172,0.1455838480612705,0.09755180199266275,0.03275794730587555,0.07290080971915673,0.1749094588363672,0.0369734560691052,18260
0.19807402930602785,0.025232902062522326,0.006785233171358246,0.02539049953077312,0.1666929066709901,0.00893064026125952,0.149436103154066,0.09851361260266432,0.03685478964533877,0.0740790115397985,0.17480012612691176,0.03521014592828955,21527
0.20300912047966874,0.029888226277274842,0.00638643622126145,0.027152842090801665,0.1650174739420327,0.009702653279520357,0.13693279926273302,0.09990430074391772,0.023798776823422636,0.0742716475965054,0.19061922997407135,0.033316493308790274,24480
0.19407857126481493,0.02465733903046348,0.006244701993735785,0.028502966656458885,0.16672608063595307,0.008387679867891223,0.13654377907114668,0.10330250050183483,0.03148544087707963,0.0756653218621899,0.19035480958849013,0.034050808649941575,25480
0.1925940140205326,0.02629011055092321,0.00709907536720819,0.029884909036561984,0.1606600597476419,0.01145750278912179,0.13366382157475543,0.10400071918507883,0.037718903078734614,0.07037727363477614,0.1922976055580358,0.03395600545662947,22506
0.19262977201474438,0.02715953069497814,0.00560584208814663,0.030548193498918134,0.16399112204943941,0.010887972129632394,0.13407692808459043,0.10532179111731343,0.0250924039015438,0.07633198094543309,0.1905735582249969,0.03778090525026351,23641
0.1926868006005601,0.032055236201362865,0.006973841351717341,0.028154624952974567,0.15644794572393908,0.00986453301947979,0.13216077519947514,0.10500718290884746,0.03247453102972282,0.07456080013324301,0.19802766568855332,0.03158606319012442,23563
0.19870411791260575,0.030387758583456676,0.006073312563041989,0.024596892923098572,0.17159751257635122,0.011002538458451092,0.14581823281909798,0.09456047732709352,0.03231235331964191,0.06896705397630461,0.17606926249030375,0.039910487050552924,21721
0.19218560859917375,0.03220085005488834,0.00735100753599043,0.022529163988568066,0.16871918782431808,0.017101413915933877,0.1495280851852308,0.10001140425284921,0.029253479908150245,0.07391486666946592,0.17199961872169264,0.035205313343738616,25661
0.18769563559135513,0.03377237900842011,0.006885057370874527,0.03045386566715773,0.16411853545147467,0.00999635093081952,0.1472850480543338,0.10399630137549438,0.029976684893625975,0.07401441191127532,0.17905653773361702,0.03274919201155189,23193
0.17114644806990967,0.02184326639815423,0.005930582719716933,0.0292274290194287,0.17852126079611133,0.012296673015932921,0.1458687640211205,0.10652040686097096,0.03302251463903759,0.07568588270924666,0.18753992965401917,0.03239684209635119,32521
