fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,baseline,,7603,17,0.9862327575683594,2526,17,0.3277473449707031,0.0
1,baseline,,6951,17,0.9016685485839844,3178,17,0.4123115539550781,0.0
2,baseline,,7604,17,0.9863624572753906,2525,17,0.3276176452636719,0.0
3,baseline,,7670,17,0.9949226379394531,2459,17,0.3190574645996094,0.0
4,baseline,,7619,17,0.9883079528808594,2510,17,0.3256721496582031,0.0
5,baseline,,6286,17,0.8154182434082031,3843,17,0.4985618591308594,0.0
6,baseline,,5634,17,0.7308540344238281,4495,17,0.5831260681152344,0.0
7,baseline,,6287,17,0.8155479431152344,3842,17,0.4984321594238281,0.0
8,baseline,,6353,17,0.8241081237792969,3776,17,0.4898719787597656,0.0
9,baseline,,6302,17,0.8174934387207031,3827,17,0.4964866638183594,0.0
