S1_Light,S1_Sound,S1_Temp,S2_Light,S2_Sound,S2_Temp,S3_Light,S3_Sound,S3_Temp,S4_Light,S4_Sound,S4_Temp,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,hour,n_test
0.23472444571994883,0.12852794041635623,0.037102736020082905,0.09690554552349301,0.07758797302156807,0.05131636202856308,0.07165810291362847,0.05077109353846004,0.028960546203126908,0.022809366087429894,0.015143539193290043,0.014998933801896394,0.03731469950759584,0.10315121734874337,0.0021211890371454164,0.011382035851915417,0.015524273786756188,2526
0.21378979225737837,0.11633490573198173,0.016307766662621348,0.17258481617061944,0.0752696771770297,0.03636523159124902,0.08838095881859077,0.050082307859387394,0.024362512484739897,0.028646964897574647,0.012884384317051587,0.016261236086261895,0.03321516973195419,0.08504287956806078,0.0032774568154116035,0.011064435620281416,0.016129504209806318,3178
0.2348423777648747,0.12905471649099592,0.03448924901405209,0.1035632710304017,0.08042883921776034,0.05641510057308233,0.06490707821033273,0.050313715550656724,0.026848881759967743,0.02262047077116625,0.015653595028351147,0.013383413056242337,0.03966169949223201,0.09829866577136823,0.0022997580195113668,0.011996069822891035,0.015223098426113482,2525
0.2649898499446315,0.1272733634421283,0.03707315910473142,0.14353217200877122,0.06296548864202713,0.03561226452464566,0.0819288137777457,0.041455909000085306,0.025147735939205152,0.021223150037332494,0.013847800293513112,0.029734236416692858,0.05144349971736799,0.05260181077619143,0.0008927141489917688,0.00039552739456436757,0.009882504831374624,2459
0.23357064679715836,0.12672272859314063,0.038404354258826656,0.0950225210075627,0.07747340656654098,0.05409302468223605,0.07156140528946328,0.05324349517961337,0.02311085385557446,0.02209161647560109,0.017438112768773533,0.01599501768288254,0.04214120812252737,0.10039236397938389,0.0020577633057335732,0.011753221574497024,0.014928259860484492,2510
0.17498465770305763,0.09640384625125148,0.02446770664455848,0.14697085835481635,0.05931969031790699,0.04360371392263744,0.07575879459587435,0.035621289972397246,0.03104582914625997,0.022251865783211176,0.004493571907336592,0.014555067293685464,0.047047466952951505,0.18304485034814474,0.00432122978322622,0.02569988374383325,0.010409677278851018,3843
0.15274818320653172,0.1158785955453611,0.02028808266838443,0.12932089677496575,0.07021102788616848,0.04510810642710652,0.0937970651854534,0.042698529699799266,0.03985442451286495,0.02413669362129225,0.004784043280305524,0.01733583030329001,0.042407863958526484,0.17172146967069343,0.002382636577324865,0.01812170211358274,0.009204848568349095,4495
0.1702463290030813,0.10112074524174362,0.026108379658052565,0.14549955983248158,0.056223360117419734,0.04863427966788848,0.0720305839052762,0.03648655224642614,0.031940509965545705,0.020032034810798183,0.005083458145896738,0.012749954234669644,0.04935437103672324,0.18072804621348398,0.004799774380933159,0.026834037106289697,0.01212802443328997,3842
0.23361441613878803,0.0853165252095268,0.0220931388883734,0.19004779012858242,0.028041964669927897,0.02931332018953401,0.12083881750159206,0.023407995071504276,0.0399821783665861,0.015208298062852116,0.002800356192609798,0.006679348882875159,0.06735005461236254,0.11388578253651044,0.0025655600730289,0.008754250633903822,0.010100202841442323,3776
0.17491776119026645,0.09958358471769359,0.027416513127644385,0.1406670263934657,0.05830101518569307,0.050671923812970567,0.07075431889162734,0.03489338212123466,0.034198525450636036,0.019467309606297056,0.004216358952953957,0.015196785667824468,0.04933037568970222,0.18119086796370454,0.003982314804270022,0.02594871748507228,0.009263218938943628,3827
