scenario,detector_name,best_macro_f1
catch24,baseline,0.8193456998233645
drift,ADWIN,0.7514570237800982
catch24_drift,ADWIN,0.8805817151591223
drift,PageHinkley,0.759835306231583
catch24_drift,PageHinkley,0.8658579169047531
drift,KSWIN,0.7741971315880596
catch24_drift,KSWIN,0.9161477028895398
drift,CUSUM,0.7919175144164249
catch24_drift,CUSUM,0.8812174616074108
drift,EWMAChart,0.7057682561497253
catch24_drift,EWMAChart,0.8889158187083228
drift,GeometricMovingAverage,0.8572796689677917
catch24_drift,GeometricMovingAverage,0.9166306577429985
drift,HDDMAverage,0.7927831402304216
catch24_drift,HDDMAverage,0.8813933219670151
drift,HDDMWeighted,0.6978667835405401
catch24_drift,HDDMWeighted,0.8515909907520736
drift,SEED,0.761804235930149
catch24_drift,SEED,0.888771225263818
baseline,baseline,0.4927661429357797
