run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_gradual_D_,0,[0],41208,3840,4,4
I_gradual_D_,1,[1],41208,3840,4,4
I_gradual_D_,2,[2],41304,3744,4,4
I_gradual_D_,3,[3],41292,3756,4,4
I_gradual_D_,4,[4],41436,3612,4,4
I_gradual_D_,5,[5],41400,3648,4,4
I_gradual_D_,6,[6],41268,3780,4,4
I_gradual_D_,7,[7],41268,3780,4,4
I_gradual_D_,8,[8],41220,3828,4,4
I_gradual_D_,9,[9],41268,3780,4,4
I_gradual_D_,10,[10],41256,3792,4,4
I_gradual_D_,11,[11],41400,3648,4,4
I_gradual_D_,0,[0],41208,3840,4,4
I_gradual_D_,1,[1],41208,3840,4,4
I_gradual_D_,2,[2],41304,3744,4,4
I_gradual_D_,3,[3],41292,3756,4,4
I_gradual_D_,4,[4],41436,3612,4,4
I_gradual_D_,5,[5],41400,3648,4,4
I_gradual_D_,6,[6],41268,3780,4,4
I_gradual_D_,7,[7],41268,3780,4,4
I_gradual_D_,8,[8],41220,3828,4,4
I_gradual_D_,9,[9],41268,3780,4,4
I_gradual_D_,10,[10],41256,3792,4,4
I_gradual_D_,11,[11],41400,3648,4,4
