left_ankle_acc_x,left_ankle_acc_y,left_ankle_acc_z,left_ankle_gyro_x,left_ankle_gyro_y,score_left_ankle_acc_x,score_left_ankle_acc_y,score_left_ankle_acc_z,score_left_ankle_gyro_x,score_left_ankle_gyro_y,n_test
0.10692324509911312,0.018807384279782142,0.013246631358100936,0.010407073448916275,0.03489803277566183,0.20601736413576155,0.13159832287007814,0.13232523113795933,0.09527497380767229,0.2505017410869542,59048
0.11194725710750356,0.013899459823541512,0.010420730619926079,0.012454317948214423,0.03782246646374091,0.20150468032154537,0.12247581030737227,0.12001628185183913,0.10431895214472359,0.26514004341159314,63006
0.10994439365591045,0.018036401480553844,0.01013875360806008,0.011577956915670611,0.044301063084353394,0.20969439310120225,0.11177792902679973,0.14323057950368606,0.09694518038465016,0.24435334923911345,54316
0.1268704387309368,0.013934761059538218,0.008515787001401216,0.011584084703950476,0.03988113378145128,0.1991651265135048,0.13464486355042174,0.11890491339187124,0.08450642994805052,0.26199246131887377,59973
0.10821134635106765,0.0190144141058206,0.00943922321707531,0.010627336751184378,0.033286539748251125,0.21536825621606293,0.12999504900429076,0.13811471452110488,0.08380016014904418,0.2521429599360983,60663
0.10498878245216198,0.021610824571973174,0.01117898574871452,0.011589342669750789,0.043809667148834414,0.2023666773770207,0.1179288305517614,0.1335002826519805,0.09382343831994415,0.25920316850785835,55496
0.11178236042075516,0.022177451121214484,0.00874722982907795,0.010245688885009286,0.03550645250499478,0.192161832154743,0.13066037083729787,0.14195858823659233,0.10759899148413361,0.2391610345261815,57210
0.11767427996407553,0.015211723592737132,0.012523131407564215,0.011963037780582358,0.04229246655275035,0.19701900105464515,0.10790329188765149,0.1409552084234768,0.10506267616854983,0.24939518316796702,55712
0.11521020894900556,0.015599721680865283,0.010218919880458265,0.01268148221896498,0.03744848136446436,0.21211578752680393,0.11507487324616486,0.1403869100162815,0.10204951561484414,0.23921409950214712,54439
0.11806741232335335,0.02203188903516582,0.009860248131380533,0.010321610214588014,0.04519917621239115,0.20528568725020008,0.11727256334990223,0.13624912667207995,0.08868604384762377,0.24702624296331502,56823
