fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,drift,CUSUM,517638,10,39.49277114868164,59048,10,4.505130767822266,0.0
1,drift,CUSUM,513680,10,39.190799713134766,63006,10,4.807102203369141,0.0
2,drift,CUSUM,522370,10,39.85379409790039,54316,10,4.144107818603516,0.0
3,drift,CUSUM,516713,10,39.42219924926758,59973,10,4.575702667236328,0.0
4,drift,CUSUM,516023,10,39.36955642700195,60663,10,4.628345489501953,0.0
5,drift,CUSUM,521190,10,39.76376724243164,55496,10,4.234134674072266,0.0
6,drift,CUSUM,519476,10,39.632999420166016,57210,10,4.364902496337891,0.0
7,drift,CUSUM,520974,10,39.74728775024414,55712,10,4.250614166259766,0.0
8,drift,CUSUM,522247,10,39.84440994262695,54439,10,4.153491973876953,0.0
9,drift,CUSUM,519863,10,39.66252517700195,56823,10,4.335376739501953,0.0
