sdp002,sdt002,sdt003,sdu002_1,sdu002_2,n_test
0.3336011216304722,0.11699624961337644,0.08594977119584918,0.4353434474506286,0.02810941010967361,4304
0.24875093599573458,0.165862821584547,0.11709531286301739,0.446958547611722,0.02133238194497913,5637
0.1258235027100372,0.23498798200929266,0.18730048211430086,0.41851763235045863,0.033370400815910535,7033
0.2635617062993766,0.1659527529609422,0.10791837889610563,0.4382548853693131,0.024312276474262477,2738
0.28209574490413997,0.1700819889178984,0.08801206332609537,0.43955430597259737,0.020255896879268848,2529
0.2706205218210288,0.15922768450734676,0.10424361230922066,0.42749808346696866,0.03841009789543512,3072
0.2573616231964021,0.16819882387500004,0.10894768663642526,0.4436519504532521,0.021839915838920376,3455
0.2743683228640726,0.1439241690163412,0.09073631846856614,0.45933533039785174,0.031635859253168246,2828
0.2804259981467198,0.15966085935233917,0.07410248876576951,0.45615155275285135,0.029659100982320188,2619
0.2690666173677615,0.14863169312428037,0.09871829104711975,0.4464153213539813,0.03716807710685689,3162
0.25436688282360864,0.17331329348925406,0.08582780023824135,0.46515922527076087,0.021332798178135097,3545
