angle_1_1,angle_1_2,angle_1_3,angle_2_1,angle_2_2,angle_2_3,score_angle_1_1,score_angle_1_2,score_angle_1_3,score_angle_2_1,score_angle_2_2,score_angle_2_3,n_test
9.771522055208925e-06,4.360125496726087e-05,0.0012754280053739158,0.011568261707478687,0.005927299668775304,0.000585355653175798,0.10999904149985655,0.1266370379709784,0.22367712337342444,0.1226906792316956,0.13875480102339907,0.2588315990888198,3030
8.503465503065344e-06,1.5064896483577921e-05,0.0009343584353342832,0.011973205340631957,0.005275917814043709,0.0004919978977256646,0.17905979251672338,0.0936013652040961,0.2587976299157841,0.11677634681507204,0.11113234179819544,0.22193347590040682,3030
1.85723188968428e-05,3.05648445152221e-05,0.0006681749076501861,0.009573708222963676,0.006767695159643468,0.0005287369877196898,0.13810865771329647,0.06486371818420368,0.22779575943284422,0.20522898455512664,0.09790795395758936,0.2485074737155506,3030
1.649112235678063e-05,1.862683174815736e-05,0.0008918564534494865,0.012767978205544359,0.006227195301969602,0.0007837062606237845,0.111966941774103,0.12327080118327788,0.2277347481213143,0.1162229687081341,0.13819467072137692,0.26190401531610163,3030
2.07264096026349e-05,4.000095177939069e-05,0.0009755052597116473,0.01325196443569012,0.006060610829892044,0.0006327542520140064,0.11596495368631964,0.1330443065245082,0.2193400399899357,0.1196252838149155,0.13605580545949345,0.2549880483861377,3030
9.153866643771016e-06,1.6579106567074275e-05,0.0008005641846362593,0.015484585318752875,0.005357045287829158,0.000922915703183908,0.11806667745917693,0.11585207172908817,0.24641898064636067,0.12292815219906081,0.13860450318890044,0.23553877130979986,3030
8.944373333167355e-06,2.2584832791787956e-05,0.0007290943132357065,0.00934944806015418,0.004864370697263058,0.0006044904757577498,0.13700787983830753,0.06334794250168256,0.2546408328281417,0.1978287502280699,0.1003264505867691,0.23126921126449354,3030
6.589320069985986e-06,1.7035659532220252e-05,0.0007847199340443407,0.014380589389877341,0.006723522178427663,0.0007054031543601994,0.09923243808145804,0.12582865936964593,0.22128999102185842,0.12680819779026228,0.14317102092049647,0.26105183317996733,3030
7.347993221901726e-06,2.2885555027759157e-05,0.0009695544700060583,0.013123326619513629,0.006390443101744835,0.0005937002737479261,0.11444706892281616,0.12719365504267846,0.24961662778074373,0.11549469135298951,0.1412495788691042,0.2308911200184057,3030
1.5734076067225885e-05,2.3355494788917834e-05,0.0006807389518391525,0.011082310477492193,0.005182412370202004,0.00046919969675588536,0.1884854258546728,0.08243730539191353,0.23624402193697597,0.10773278588282385,0.11836573779305103,0.24928097207341737,3030
