fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,drift,GeometricMovingAverage,5.84490536339581,517638,0.011291492053125563
1,drift,GeometricMovingAverage,5.928487835451961,513680,0.011541208214164383
2,drift,GeometricMovingAverage,5.969546835869551,522370,0.011427813304495953
3,drift,GeometricMovingAverage,6.24427299387753,516713,0.012084605949293961
4,drift,GeometricMovingAverage,6.325879193842411,516023,0.012258909377764965
5,drift,GeometricMovingAverage,5.792280720546842,521190,0.011113568411801535
6,drift,GeometricMovingAverage,6.456994554027915,519476,0.012429822655960843
7,drift,GeometricMovingAverage,5.7264242470264435,520974,0.010991765898156997
8,drift,GeometricMovingAverage,6.397261127829552,522247,0.01224949330073615
9,drift,GeometricMovingAverage,6.260326765477657,519863,0.012042262606643784
