left_wrist_acc_x,left_wrist_acc_y,left_wrist_acc_z,left_wrist_gyro_x,left_wrist_gyro_y,score_left_wrist_acc_x,score_left_wrist_acc_y,score_left_wrist_acc_z,score_left_wrist_gyro_x,score_left_wrist_gyro_y,n_test
0.10190796253812875,0.007521736176332664,0.055178578693659816,0.030881582177753827,0.06814990786748183,0.253143605990035,0.06699210161619015,0.1830475798752103,0.01219405679702122,0.22098288826818646,59048
0.11583335475616696,0.01048096440807549,0.061102141594956215,0.025316678640283585,0.06540854491809196,0.24887127753886484,0.06049282847094175,0.14917979079090155,0.020659325245798537,0.24265509363591925,63006
0.11591915763221963,0.011850741434637416,0.06371202718561458,0.03345779983540969,0.07727322877521577,0.2658361259327277,0.06567737084553468,0.13947219598425328,0.0223070384958675,0.20449431387851977,54316
0.1274820564129881,0.013881379745710869,0.07213556307863019,0.028100562197349407,0.07429129924179607,0.26540998404669774,0.06832552138731703,0.15888489420451107,0.009219944999955786,0.18226879468504367,59973
0.11137427208324435,0.008547548576672495,0.04972356389120944,0.0298696026231985,0.07053304551978913,0.2833406984139525,0.06746946197715042,0.16418221058280744,0.019992457052319994,0.19496713927965567,60663
0.11488070243936804,0.012388010571632975,0.06291182176235446,0.03030680648802675,0.07253072308861432,0.2645346871404224,0.06039168859055839,0.14516208951555357,0.014478551556298545,0.22241491884717055,55496
0.12670034001717995,0.012496888298514898,0.06120995859679296,0.03488299181643567,0.07678493579779065,0.25474751280324553,0.06828161922270569,0.14819368138366368,0.0150448567809261,0.2016572152827448,57210
0.12466995828699685,0.01098515535839631,0.057880065835568394,0.03182041393968198,0.0731356494109806,0.27927302992321146,0.059642597342564455,0.15524109485034845,0.009061009011856367,0.1982910260403952,55712
0.12696029825143806,0.012091804408199,0.055728303834922124,0.03083443423179708,0.07407839281937953,0.27982942450293413,0.06964058489734219,0.1334180562478673,0.015185452094926395,0.20223324871119422,54439
0.11957474841595848,0.011965969517912619,0.054691600445752254,0.02954318877305748,0.06856206894448735,0.2623162369240434,0.06966353470319755,0.14621860891707372,0.014161825729201105,0.223302217629316,56823
