classe,f1_medio,f1_desvio
0,0.33905378143747417,0.11950172734040934
1,0.78668217951625,0.26644970216707253
2,0.568184289297576,0.4600931441887423
3,0.6033751647794772,0.4766007324529335
4,0.8614104985253125,0.10362371313860107
5,0.8301445329590408,0.05247429737812498
6,0.8914201713894219,0.05027865656487058
7,0.9082646656882589,0.061783061670133956
8,0.8796363998980776,0.06625367327152255
9,0.8536969725357324,0.2924998044575963
10,0.6903585106054108,0.30663848140284855
11,0.7476885809945873,0.23089161017689708
12,0.3912092938768389,0.22885175846777614
