fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.7662744881648498,0.7662744881648498,0.811741404702656,24
1,0.7623087415240289,0.7623087415240289,0.826991742914528,24
2,0.6323914493391964,0.6323914493391964,0.6898155324755851,24
3,0.7860349857962932,0.7860349857962932,0.8260267530567458,24
4,0.7632568586221047,0.7632568586221047,0.8142823350067022,24
5,0.6829375426004213,0.6829375426004213,0.7144098872742088,24
6,0.6429139178872904,0.6429139178872904,0.6749869239263091,24
7,0.5708333513902232,0.5708333513902232,0.6546457940605961,24
8,0.7330474496845104,0.7330474496845104,0.7258541392904073,24
9,0.8531743238398962,0.8531743238398962,0.8631760339342524,24
