scenario,detector,mem_X_train_mb__mean,mem_X_train_mb__std,mem_X_train_mb__max,mem_X_train_mb__min,mem_X_test_mb__mean,mem_X_test_mb__std,mem_X_test_mb__max,mem_X_test_mb__min,n_train_cols__max,mem_catch22_cache_mb__mean
baseline,,22.06514576503209,0.9137095562058758,23.04083633422852,20.869571685791016,3.677629198346819,0.9137095562058756,4.873203277587891,2.70193862915039,6,0.0
catch24,,527.8599194117954,21.929029348940997,551.2764930725098,499.16614151000977,87.97675813947406,21.929029348941018,116.67053604125977,64.56018447875977,144,615.8381881713867
catch24_drift,PageHinkley,571.8482355390277,23.756448461352768,597.2161903381348,540.7633094787598,95.3081441606794,23.756448461352775,126.39307022094728,69.94018936157227,156,615.8381881713867
drift,PageHinkley,44.13016564505441,1.827419112411752,46.08154678344727,41.739017486572266,7.355132511683872,1.8274191124117511,9.746280670166016,5.403751373291016,12,0.0
