run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_D_I_,0,[0],44447,4056,4,4
I_D_I_,1,[1],44434,4069,4,4
I_D_I_,2,[2],44408,4095,4,4
I_D_I_,3,[3],44525,3978,4,4
I_D_I_,4,[4],44382,4121,4,4
I_D_I_,5,[5],44369,4134,4,4
I_D_I_,6,[6],44408,4095,4,4
I_D_I_,7,[7],44590,3913,4,4
I_D_I_,8,[8],44369,4134,4,4
I_D_I_,9,[9],44577,3926,4,4
I_D_I_,10,[10],44434,4069,4,4
I_D_I_,11,[11],44590,3913,4,4
I_D_I_,0,[0],44447,4056,4,4
I_D_I_,1,[1],44434,4069,4,4
I_D_I_,2,[2],44408,4095,4,4
I_D_I_,3,[3],44525,3978,4,4
I_D_I_,4,[4],44382,4121,4,4
I_D_I_,5,[5],44369,4134,4,4
I_D_I_,6,[6],44408,4095,4,4
I_D_I_,7,[7],44590,3913,4,4
I_D_I_,8,[8],44369,4134,4,4
I_D_I_,9,[9],44577,3926,4,4
I_D_I_,10,[10],44434,4069,4,4
I_D_I_,11,[11],44590,3913,4,4
