classe,f1_medio,f1_desvio
0,0.09625523439124219,0.10933879875560194
1,0.8197062401354976,0.185145354598876
2,0.2702421360562657,0.33484166193119846
3,0.7128380779251328,0.42719808047687946
4,0.5551937020659239,0.3010385086300757
5,0.4172736844173949,0.27071750594182775
6,0.4407006840657771,0.32393985190895397
7,0.6872673191304106,0.23985496581151533
8,0.4663019704977559,0.3314097730589587
9,0.8090833708505842,0.28946531129697045
10,0.6228617674892604,0.34802180567251906
11,0.668166988328087,0.2345118174430413
12,0.06013261718845171,0.05813095825401012
