fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.5005461876137512,0.5005461876137512,0.6088314458382001,24
1,0.5463331681044175,0.5463331681044175,0.6580283418879714,24
2,0.4843683399117735,0.4843683399117735,0.5467111042215678,24
3,0.6091823121327609,0.6091823121327609,0.7103929355209531,24
4,0.45027130995718323,0.45027130995718323,0.5291350172155492,24
5,0.6246231237797228,0.6246231237797228,0.699932092896917,24
6,0.44660745489493087,0.44660745489493087,0.5317603300982159,24
7,0.47581221162102566,0.47581221162102566,0.5705270059831161,24
8,0.3831212551225231,0.3831212551225231,0.45348773543583004,24
9,0.5760760157402063,0.5760760157402063,0.6551961823966066,24
