scenario,detector_name,best_macro_f1
catch24,baseline,0.7095244491348571
drift,ADWIN,0.5238527283835692
catch24_drift,ADWIN,0.7841446985870066
drift,PageHinkley,0.5663578784554887
catch24_drift,PageHinkley,0.8442712736713384
drift,KSWIN,0.5516508583987714
catch24_drift,KSWIN,0.8200029478795987
drift,CUSUM,0.5305373867291515
catch24_drift,CUSUM,0.8376770942987157
drift,EWMAChart,0.5049321365429993
catch24_drift,EWMAChart,0.7627110139041315
drift,GeometricMovingAverage,0.49334309129194537
catch24_drift,GeometricMovingAverage,0.7274066988026033
drift,HDDMAverage,0.5656252957101462
catch24_drift,HDDMAverage,0.8415205730367221
drift,HDDMWeighted,0.4415790950389821
catch24_drift,HDDMWeighted,0.7605906743714137
drift,SEED,0.5023748951603212
catch24_drift,SEED,0.7797713103762866
baseline,baseline,0.34668623901704215
