classe,f1_medio,f1_desvio
0,0.5180772299706835,0.08482390963191477
1,0.7505889215190759,0.2991429006420229
2,0.3655918724381396,0.44494632913182347
3,0.7056525534658575,0.4399128438752587
4,0.7452451965915696,0.13010530903624115
5,0.7857912631069481,0.14540190350288312
6,0.7740391997620634,0.12391732140026226
7,0.9602267986465556,0.024135897971402864
8,0.8824225602818956,0.065750403668968
9,0.7471868034084882,0.37954729321409286
10,0.5726823994330553,0.27417407108785824
11,0.6934264645931613,0.27171409757983106
12,0.47998249275533356,0.23797194368374108
