fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.6903160765740881,0.6903160765740881,0.7497841653547306,24
1,0.7311696673831072,0.7311696673831072,0.7965576880160679,24
2,0.4884104723920186,0.4884104723920186,0.5707125510256807,24
3,0.7488150639050363,0.7488150639050363,0.77421883164385,24
4,0.7734698670476854,0.7734698670476854,0.8065550503324835,24
5,0.7134942902986213,0.7134942902986213,0.7692516637240255,24
6,0.6621217788911686,0.6621217788911686,0.6869006799558319,24
7,0.622407005459125,0.622407005459125,0.6688522798677704,24
8,0.6189108040001169,0.6189108040001169,0.6689662724485327,24
9,0.8592801709512077,0.8592801709512077,0.8764316012725345,24
