scenario,detector,t_fit_pipeline_s__sum,t_fit_pipeline_s__mean,t_fit_pipeline_s__std,t_fit_por_amostra_ms__mean,t_fit_por_amostra_ms__std,n_train_samples__sum
catch24_drift,HDDMAverage,517.521825844422,51.752182584442195,0.2934141610120686,0.10016148157396165,0.0005905695302896489,5166954
drift,CUSUM,55.27169890329242,5.527169890329242,0.3479966319937738,0.010650207428145781,0.0006820444852226449,5190174
