x_acc,x_gyro,y_acc,y_gyro,z_acc,z_gyro,n_test
0.018153378141411235,0.051063329999342266,0.07063125098481206,0.2655797316790718,0.3412722668406506,0.25330004235471204,18075
0.009640966738560113,0.04031569354068076,0.06360635339737332,0.279262932752166,0.3588149404851585,0.24835911308606137,21477
0.006265801108621458,0.05113515135437944,0.05747778142858334,0.2781235278160543,0.3605761860075679,0.2464215522847935,24055
0.022964162424070858,0.048059456208053436,0.04768423472567223,0.2779165025127333,0.356131506169164,0.24724413796030614,25223
0.019082351274841047,0.04953104790422804,0.07001977767720764,0.27432195492895484,0.34398166426569343,0.24306320394907513,22318
0.00017345619201050575,0.0529502265527588,0.060563886633194494,0.273325114163572,0.36730522809861693,0.24568208835984726,23348
0.008742245202474023,0.04126120214487397,0.06501405024736269,0.26461641173676054,0.36105604188326906,0.25931004878525976,23182
0.02431925962043909,0.03982072851158954,0.06298167259921697,0.2649374656072335,0.3390712178839446,0.2688696557775762,21406
0.016154152653441157,0.04787631377233413,0.06858457559952767,0.2772991799162505,0.34184530725820256,0.24824047080024397,25252
0.028638224949991065,0.05059501927814564,0.07481116842117283,0.2568977753024232,0.3397998534153046,0.2492579586329626,22861
0.004284560804961014,0.05033536102008394,0.06834684558935333,0.2556979137066289,0.37048910203945884,0.2508462168395141,32016
