fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,8.04700717329979,241138,0.0333709625745415
1,baseline,,7.495798904448748,237736,0.03152992775367949
2,baseline,,7.554169125854969,235158,0.032123802404574665
3,baseline,,7.513142455369234,233990,0.03210881856220024
4,baseline,,7.568572474643588,236895,0.0319490596029616
5,baseline,,7.821877783164382,235865,0.033162520014264014
6,baseline,,7.5676608476787806,236031,0.03206214797072749
7,baseline,,7.729048693552613,237807,0.032501350648015466
8,baseline,,7.407710459083319,233961,0.03166215933032992
9,baseline,,7.469285799190402,236352,0.0316023803445302
10,baseline,,7.3474926352500916,227197,0.03233974319753382
