right_wrist_acc_x,right_wrist_acc_y,right_wrist_acc_z,right_wrist_gyro_x,right_wrist_gyro_y,score_right_wrist_acc_x,score_right_wrist_acc_y,score_right_wrist_acc_z,score_right_wrist_gyro_x,score_right_wrist_gyro_y,n_test
0.10783728003646806,0.024977223421259197,0.07033560983298594,0.017402729408595635,0.05747619924886539,0.28576586027294715,0.2612328616816573,0.15422289759214936,0.00274179119721716,0.018007547307854765,59048
0.1248931567008089,0.021249995887826445,0.06436502622729602,0.02280704532040381,0.07451268660067759,0.29083262349917427,0.24637364101463835,0.12630371619498532,0.004337754017031882,0.024324354537157512,63006
0.11727269140107756,0.027702771841646764,0.06911622559750294,0.018955839771391314,0.07662996131252138,0.26509517099006896,0.2757211734391383,0.11530753280280046,0.0035177560486941233,0.03068087679515839,54316
0.1146275313038419,0.02094854223347539,0.06753926710120936,0.018468367638318505,0.07002991036506621,0.3152941718823155,0.23336332284546338,0.1414109195177473,0.002666660498326177,0.015651306614236294,59973
0.11715908800787492,0.024019992950219046,0.06539720044806292,0.022374444982080948,0.0660557156528844,0.3204495942091496,0.2299672625028424,0.1336809086949791,0.0034009384816238936,0.017494854070282857,60663
0.11623056412909848,0.023903657147546872,0.07475858312281562,0.019324067569796453,0.07901120566292347,0.27628099114776844,0.2640795174009651,0.1169431989324507,0.004125169367613787,0.02534304551902114,55496
0.12382084045568965,0.030594601496508722,0.0706225184643007,0.01990274316140968,0.07484420458780845,0.2533596033911087,0.24994895354612756,0.13170968170597155,0.002198384621807921,0.0429984685692672,57210
0.11422705370184419,0.018545242485250434,0.07935609413469975,0.016011132742489723,0.06538699808638185,0.24405379213731065,0.25177764755098536,0.12345857261081143,0.0020322629804010077,0.0851512035698256,55712
0.11884461650831449,0.025552957614051606,0.07397355793443278,0.018264836637058194,0.07392884598279449,0.2747614004681921,0.25262885302253724,0.1305706291494526,0.0020962844036706767,0.029378018279495807,54439
0.12293499502737801,0.025726251040956348,0.07176867154423916,0.01813360251064563,0.06908351014157982,0.27238364982940944,0.24960202848613577,0.13681146478405942,0.004277294787921724,0.029278531847674674,56823
