fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,KSWIN,31.29951434955001,515316,0.060738487354458255
1,catch24_drift,KSWIN,30.077953901141882,511358,0.058819758175567574
2,catch24_drift,KSWIN,31.666779045015574,520048,0.06089203120676471
3,catch24_drift,KSWIN,29.950780807062984,514391,0.05822570925047869
4,catch24_drift,KSWIN,31.41247223690152,513701,0.0611493305189235
5,catch24_drift,KSWIN,30.66959386691451,518868,0.059108663218611496
6,catch24_drift,KSWIN,31.26063258200884,517154,0.06044743457849855
7,catch24_drift,KSWIN,31.079018576070666,518652,0.05992268144357038
8,catch24_drift,KSWIN,31.242684487253428,519925,0.06009075248786542
9,catch24_drift,KSWIN,31.006886651739478,517541,0.05991194253545029
