run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_gradual_D_,0,[0],42783,3615,96,96
D_gradual_D_,1,[1],42251,4147,96,96
D_gradual_D_,2,[2],42363,4035,96,96
D_gradual_D_,3,[3],42228,4170,96,96
D_gradual_D_,4,[4],42342,4056,96,96
D_gradual_D_,5,[5],42289,4109,96,96
D_gradual_D_,6,[6],42847,3551,96,96
D_gradual_D_,7,[7],42939,3459,96,96
D_gradual_D_,8,[8],42542,3856,96,96
D_gradual_D_,9,[9],42746,3652,96,96
D_gradual_D_,10,[10],42309,4089,96,96
D_gradual_D_,11,[11],42739,3659,96,96
D_gradual_D_,0,[0],42783,3615,96,96
D_gradual_D_,1,[1],42251,4147,96,96
D_gradual_D_,2,[2],42363,4035,96,96
D_gradual_D_,3,[3],42228,4170,96,96
D_gradual_D_,4,[4],42342,4056,96,96
D_gradual_D_,5,[5],42289,4109,96,96
D_gradual_D_,6,[6],42847,3551,96,96
D_gradual_D_,7,[7],42939,3459,96,96
D_gradual_D_,8,[8],42542,3856,96,96
D_gradual_D_,9,[9],42746,3652,96,96
D_gradual_D_,10,[10],42309,4089,96,96
D_gradual_D_,11,[11],42739,3659,96,96
