x_acc,x_gyro,y_acc,y_gyro,z_acc,z_gyro,n_test
0.2633191336566176,0.1581979643910054,0.07390145735839813,0.13305736331509047,0.2984199342083659,0.07310414707052258,18260
0.26353586701004145,0.1599184243379885,0.07971964156949983,0.1342078105423144,0.29356888746212084,0.06904936907803509,21527
0.23271386383038883,0.1610702647788902,0.05575925354980867,0.1369408603205298,0.33915026389319436,0.07436549362718797,24480
0.2444804164500515,0.16326396995148126,0.06499410460778017,0.13902608311918546,0.3198587184466194,0.0683767074248822,25480
0.22871010646798715,0.16033549373820033,0.08123891285713568,0.13186308250509787,0.3262148668046768,0.07163753762690214,22506
0.23042813379074784,0.15998995266867633,0.05914037432773982,0.1405850987267138,0.3379262006037671,0.07193023988235503,23641
0.2227711350719764,0.16063023651974673,0.06531067107051983,0.13712568666193548,0.3452342209276808,0.06892804974814079,23563
0.2667502829810868,0.1523088987644575,0.06780646030564089,0.12784111130957573,0.3095143926137105,0.0757788540255286,21721
0.2660156347844471,0.15604944094214415,0.06912820067399107,0.13427976114896517,0.300779025653875,0.07374793679657753,25661
0.2628139073056946,0.15831176046770648,0.06794264093681437,0.14008597522440377,0.3009922822318866,0.06985343383349417,23193
0.2550865699026156,0.1677237170042711,0.06881352617730611,0.13365921179192392,0.31016300826493093,0.06455396685895239,32521
