right_wrist_acc_x,right_wrist_acc_y,right_wrist_acc_z,right_wrist_gyro_x,right_wrist_gyro_y,n_test
0.3292799608590287,0.09315195309663403,0.16258377886184885,0.13480604817474146,0.28017825900774695,59048
0.33124435039053435,0.09850326644276639,0.15427720030060893,0.12813710886176996,0.2878380740043204,63006
0.31948498211371823,0.10265084076821983,0.1600938854848806,0.1306677276043842,0.2871025640287972,54316
0.33955440982973617,0.09415816366190469,0.1628212071785524,0.12629123124666808,0.2771749880831387,59973
0.33361401127595275,0.10383681898964443,0.16208279118177335,0.1296387465060265,0.2708276320466029,60663
0.3172665309711786,0.10303597767217726,0.16440158000528585,0.13171584471820047,0.2835800666331578,55496
0.3112725603447448,0.10874305957647418,0.14683949177119887,0.12711507661920374,0.30602981168837834,57210
0.32597269574440224,0.09084375533881904,0.16507532668402172,0.13081218336270067,0.2872960388700564,55712
0.3247892569497932,0.09867477398235279,0.15882246653466284,0.1320966168087098,0.28561688572448135,54439
0.32392970339787625,0.09662622174199871,0.167012879332082,0.1271256853874719,0.28530551014057104,56823
