fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,4.480471458286047,517638,0.008655607699369149
1,baseline,,4.269448067992926,513680,0.008311493669196632
2,baseline,,4.302179720252752,522370,0.008235885905110846
3,baseline,,4.60464078001678,516713,0.008911408809177977
4,baseline,,4.417488221079111,516023,0.008560642105253275
5,baseline,,4.4504945650696754,521190,0.008539101987892468
6,baseline,,4.381623391062021,519476,0.008434698409670555
7,baseline,,4.626186229288578,520974,0.00887987928243747
8,baseline,,4.456216840073466,522247,0.008532776330114804
9,baseline,,4.369495706632733,519863,0.008405090777056135
