alx,aly,alz,arx,ary,arz,glx,gly,glz,grx,gry,grz,n_test
0.029364736306770292,0.10886153065493735,0.10877362116270556,0.0853139616538211,0.09561945790700756,0.09019933873486218,0.06288163227624813,0.06794924139223811,0.0880748701306671,0.09713114734367409,0.103425143083399,0.062405319353669664,39382
0.023845230165165664,0.09740257228192034,0.1132901198170678,0.08536388278992618,0.09406522301436084,0.09504131910161183,0.06536636437683838,0.0873875733327504,0.08059037021750565,0.09270944986680542,0.09845535045655902,0.06648254457948856,38706
0.02750039214345828,0.10818358151957773,0.12204825808632275,0.09323574289606784,0.1068452885779927,0.10017641880778225,0.054161862527894095,0.06271165596460608,0.07631672154901857,0.0881852392415146,0.10054246042203796,0.06009237826372715,38276
0.028808531908024165,0.11227902081832714,0.12459336722239382,0.10238115532178498,0.11363995477515873,0.09971393467634823,0.053936852037443986,0.0621364639413267,0.06837406053919952,0.08164331921121985,0.0975431668957137,0.05495017265305918,38047
0.029559145486415004,0.106277884918623,0.1087608266642143,0.08051733536652356,0.09424931504183744,0.10378878127426627,0.07087106452515297,0.0649239389519676,0.0764849125607895,0.09787443253195055,0.10148711319490443,0.06520524948335536,36815
0.02946749863647029,0.09887329783313055,0.11449725137917521,0.08028162432057799,0.09355759139455487,0.08919758032801818,0.07016216768978,0.06662456672526347,0.08778289529013202,0.09950810889491409,0.10213012378424806,0.06791729372373521,34414
0.027710275986300693,0.11236567190732599,0.11491264660811572,0.09079673362696565,0.09895684975133373,0.09942709870631394,0.06716685728034404,0.06391990343187424,0.07149572259031828,0.0932569613118734,0.1008863490399426,0.05910492975929185,36603
0.0281095739600913,0.09949343604229155,0.1169605527734093,0.08415433141223207,0.09067422443817318,0.08872103607653943,0.085099415223545,0.06304349701188831,0.06965446438403775,0.0952983576290417,0.10394907667805801,0.07484203437069233,36528
0.028768715175341117,0.10490849618002236,0.11380121740355306,0.08856230646062084,0.09301214853654947,0.09277838277968407,0.07625965956318348,0.06687141604750076,0.08375697027766776,0.09847309336331353,0.09804094715987752,0.054766647052686024,37720
0.02937052985948154,0.11003858278118676,0.11986944644041828,0.09050591500669372,0.10092581966805227,0.10099372025991316,0.06615405813913193,0.06468718757554599,0.0726878516394984,0.09178656381460429,0.09638807192399206,0.05659225289148168,35848
