fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,baseline,,332957,12,30.48324966430664,39382,12,3.605655670166016,0.0
1,baseline,,333633,12,30.54513931274414,38706,12,3.543766021728516,0.0
2,baseline,,334063,12,30.58450698852539,38276,12,3.5043983459472656,0.0
3,baseline,,334292,12,30.605472564697266,38047,12,3.48343276977539,0.0
4,baseline,,335524,12,30.718265533447266,36815,12,3.37063980102539,0.0
5,baseline,,337925,12,30.93808364868164,34414,12,3.150821685791016,0.0
6,baseline,,335736,12,30.73767471313477,36603,12,3.35123062133789,0.0
7,baseline,,335811,12,30.74454116821289,36528,12,3.3443641662597656,0.0
8,baseline,,334619,12,30.63541030883789,37720,12,3.4534950256347656,0.0
9,baseline,,336491,12,30.80679702758789,35848,12,3.2821083068847656,0.0
0,catch24,,332336,288,730.2305946350098,39313,288,86.38122940063477,816.6128311157227
1,catch24,,333012,288,731.7159461975098,38637,288,84.89587783813477,816.6128311157227
2,catch24,,333442,288,732.6607704162598,38207,288,83.95105361938477,816.6128311157227
3,catch24,,333671,288,733.1639442443848,37978,288,83.44787979125977,816.6128311157227
4,catch24,,334903,288,735.8709754943848,36746,288,80.74084854125977,816.6128311157227
5,catch24,,337304,288,741.1466102600098,34345,288,75.46521377563477,816.6128311157227
6,catch24,,335115,288,736.3367958068848,36534,288,80.27502822875977,816.6128311157227
7,catch24,,335190,288,736.5015907287598,36459,288,80.11023330688477,816.6128311157227
8,catch24,,333998,288,733.8824501037598,37651,288,82.72937393188477,816.6128311157227
9,catch24,,335870,288,737.9957313537598,35779,288,78.61609268188477,816.6128311157227
0,drift,HDDMAverage,332957,24,60.96637344360352,39382,24,7.211185455322266,0.0
1,drift,HDDMAverage,333633,24,61.09015274047852,38706,24,7.087406158447266,0.0
2,drift,HDDMAverage,334063,24,61.168888092041016,38276,24,7.008670806884766,0.0
3,drift,HDDMAverage,334292,24,61.210819244384766,38047,24,6.966739654541016,0.0
4,drift,HDDMAverage,335524,24,61.436405181884766,36815,24,6.741153717041016,0.0
5,drift,HDDMAverage,337925,24,61.87604141235352,34414,24,6.301517486572266,0.0
6,drift,HDDMAverage,335736,24,61.475223541259766,36603,24,6.702335357666016,0.0
7,drift,HDDMAverage,335811,24,61.488956451416016,36528,24,6.688602447509766,0.0
8,drift,HDDMAverage,334619,24,61.270694732666016,37720,24,6.906864166259766,0.0
9,drift,HDDMAverage,336491,24,61.613468170166016,35848,24,6.564090728759766,0.0
0,catch24_drift,HDDMAverage,332066,312,790.4404335021973,39283,312,93.50824356079102,815.9536514282227
1,catch24_drift,HDDMAverage,332742,312,792.0495643615723,38607,312,91.89911270141602,815.9536514282227
2,catch24_drift,HDDMAverage,333172,312,793.0731239318848,38177,312,90.87555313110352,815.9536514282227
3,catch24_drift,HDDMAverage,333401,312,793.6182289123535,37948,312,90.33044815063477,815.9536514282227
4,catch24_drift,HDDMAverage,334633,312,796.5508460998535,36716,312,87.39783096313477,815.9536514282227
5,catch24_drift,HDDMAverage,337034,312,802.2661170959473,34315,312,81.68255996704102,815.9536514282227
6,catch24_drift,HDDMAverage,334845,312,797.0554847717285,36504,312,86.89319229125977,815.9536514282227
7,catch24_drift,HDDMAverage,334920,312,797.2340126037598,36429,312,86.71466445922852,815.9536514282227
8,catch24_drift,HDDMAverage,333728,312,794.3966102600098,37621,312,89.55206680297852,815.9536514282227
9,catch24_drift,HDDMAverage,335600,312,798.8526649475098,35749,312,85.09601211547852,815.9536514282227
