waist_acc_x,waist_acc_y,waist_acc_z,waist_gyro_x,waist_gyro_y,n_test
0.04026716791021962,0.2681949551581905,0.211831925148136,0.3996435033974734,0.08006244838598037,59048
0.04379770063263525,0.273653172652146,0.19628793520969956,0.4078725771703546,0.07838861433516471,63006
0.040424964512407416,0.2721834526828652,0.20474292996158208,0.4022165425934384,0.08043211024970688,54316
0.045766418369186865,0.269411941178109,0.2094610810612697,0.3887480589262062,0.08661250046522836,59973
0.038057032898850346,0.2684467309753665,0.22718711142930198,0.38801875731930413,0.07829036737717719,60663
0.044257805933253784,0.2605648951796107,0.2172616235725497,0.3976466676630179,0.08026900765156796,55496
0.04321117431085387,0.2805923738551004,0.22272528555781024,0.3797669665686985,0.073704199707537,57210
0.04002588199273171,0.2745790672906485,0.21257881479654758,0.3828947422447952,0.08992149367527698,55712
0.0442366334983546,0.2782506613345784,0.21760108489251923,0.37732176532350814,0.08258985495103967,54439
0.041083357651170355,0.2750426460917554,0.21379019671117883,0.3804562049126525,0.08962759463324296,56823
