fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,3.721305286511779,517638,0.007189011020272427
1,baseline,,3.863097095862031,513680,0.007520435087723935
2,baseline,,4.096674242988229,522370,0.007842476105037098
3,baseline,,3.9222429264336824,516713,0.0075907572026128285
4,baseline,,4.288060178980231,516023,0.008309823746190057
5,baseline,,4.010029057040811,521190,0.007693986947256874
6,baseline,,4.038899216800928,519476,0.007774948634394906
7,baseline,,4.057720383629203,520974,0.007788719559189523
8,baseline,,3.652361759915948,522247,0.006993552399374142
9,baseline,,4.533735843375325,519863,0.008721020429181006
