run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_abrupto_D_,0,[0],40548,3600,8,8
I_abrupto_D_,1,[1],40476,3672,8,8
I_abrupto_D_,2,[2],40416,3732,8,8
I_abrupto_D_,3,[3],40512,3636,8,8
I_abrupto_D_,4,[4],40476,3672,8,8
I_abrupto_D_,5,[5],40392,3756,8,8
I_abrupto_D_,6,[6],40536,3612,8,8
I_abrupto_D_,7,[7],40500,3648,8,8
I_abrupto_D_,8,[8],40380,3768,8,8
I_abrupto_D_,9,[9],40452,3696,8,8
I_abrupto_D_,10,[10],40536,3612,8,8
I_abrupto_D_,11,[11],40404,3744,8,8
