fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,KSWIN,40.146711245179176,253233,0.15853664903539103
1,catch24_drift,KSWIN,39.94125258177519,250420,0.15949705527424002
2,catch24_drift,KSWIN,40.233776319772005,252753,0.15918219099188538
3,catch24_drift,KSWIN,40.24071015417576,251383,0.16007729303165194
4,catch24_drift,KSWIN,39.8063980974257,249778,0.15936711038372353
5,catch24_drift,KSWIN,39.76223355717957,251652,0.15800483825751263
6,catch24_drift,KSWIN,41.10635784454644,252085,0.16306546539677663
7,catch24_drift,KSWIN,39.7249701153487,251140,0.15817858610873894
