fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,33.80749137327075,515316,0.06560535937807238
1,catch24,,33.4836229365319,511358,0.06547980658664165
2,catch24,,34.64922075532377,520048,0.06662696665562365
3,catch24,,33.96004787273705,514391,0.06601991067638635
4,catch24,,34.409065652638674,513701,0.06698267212374255
5,catch24,,34.795086212456226,518868,0.06705961094624495
6,catch24,,35.60262871347368,517154,0.06884337878750561
7,catch24,,34.325978480279446,518652,0.06618306394322097
8,catch24,,34.27183969505131,519925,0.06591689127287842
9,catch24,,34.48843504860997,517541,0.06663903931980263
