run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
smartphone,0,"[0, 1, 2]",733055,79289,156,156
smartphone,1,"[3, 4, 5]",736950,75394,156,156
smartphone,2,"[6, 7, 8]",741873,70471,156,156
smartphone,3,"[9, 10, 11]",738200,74144,156,156
smartphone,4,"[12, 13, 14]",734349,77995,156,156
smartphone,5,"[15, 16, 17]",725501,86843,156,156
smartphone,6,"[18, 19, 20]",724475,87869,156,156
smartphone,7,"[21, 22, 23]",728259,84085,156,156
smartphone,8,"[24, 25, 26]",721781,90563,156,156
smartphone,9,"[27, 28, 29]",726653,85691,156,156
