left_ankle_acc_x,left_ankle_acc_y,left_ankle_acc_z,left_ankle_gyro_x,left_ankle_gyro_y,n_test
0.34035624124386915,0.1321435046656713,0.07714466615492137,0.105188413278756,0.3451671746567822,59048
0.35340289075171843,0.12147056046086527,0.08221544332058696,0.10086574676936572,0.3420453586974636,63006
0.3512444045456011,0.12707128229238213,0.07483501201757749,0.10315711142115479,0.3436921897232845,54316
0.3524855294249933,0.11268128760895632,0.08058761248835328,0.10227780552216166,0.3519677649555354,59973
0.34841692251125006,0.14183333017444985,0.06311497682660541,0.10769203453733475,0.33894273595036006,60663
0.34542268224858674,0.13762960461228807,0.06958998004880874,0.09581979761998116,0.3515379354703354,55496
0.3453934203382268,0.1417321122405224,0.07149013819103615,0.10082885015411636,0.3405554790760984,57210
0.3612372414130652,0.12320357228965753,0.07669225644511211,0.09809131607465829,0.34077561377750687,55712
0.34855540599231777,0.13153022033829576,0.04822007405156354,0.1380854959018877,0.3336088037159352,54439
0.35424344671668023,0.13711097841195816,0.07906323178795076,0.08972397546905919,0.33985836761435173,56823
