fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,8.071038521826267,517638,0.015592051823525837
1,baseline,,7.6508275475353,513680,0.014894151120416019
2,baseline,,7.287667663767934,522370,0.01395116041075853
3,baseline,,7.7842654176056385,516713,0.015064969175549364
4,baseline,,7.913580605760217,516023,0.015335712954190447
5,baseline,,8.836544761434197,521190,0.016954555462373025
6,baseline,,7.863434690982103,519476,0.015137243474158775
7,baseline,,8.031901890411973,520974,0.015417087782522685
8,baseline,,8.071859873831272,522247,0.015456019611086846
9,baseline,,7.9727449882775545,519863,0.015336242410553463
