run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
smartphone,0,"[0, 1, 2]",732515,79229,144,144
smartphone,1,"[3, 4, 5]",736410,75334,144,144
smartphone,2,"[6, 7, 8]",741333,70411,144,144
smartphone,3,"[9, 10, 11]",737660,74084,144,144
smartphone,4,"[12, 13, 14]",733809,77935,144,144
smartphone,5,"[15, 16, 17]",724961,86783,144,144
smartphone,6,"[18, 19, 20]",723935,87809,144,144
smartphone,7,"[21, 22, 23]",727719,84025,144,144
smartphone,8,"[24, 25, 26]",721241,90503,144,144
smartphone,9,"[27, 28, 29]",726113,85631,144,144
smartphone,0,"[0, 1, 2]",733055,79289,144,144
smartphone,1,"[3, 4, 5]",736950,75394,144,144
smartphone,2,"[6, 7, 8]",741873,70471,144,144
smartphone,3,"[9, 10, 11]",738200,74144,144,144
smartphone,4,"[12, 13, 14]",734349,77995,144,144
smartphone,5,"[15, 16, 17]",725501,86843,144,144
smartphone,6,"[18, 19, 20]",724475,87869,144,144
smartphone,7,"[21, 22, 23]",728259,84085,144,144
smartphone,8,"[24, 25, 26]",721781,90563,144,144
smartphone,9,"[27, 28, 29]",726653,85691,144,144
smartphone,0,"[0, 1, 2]",733055,79289,144,144
smartphone,1,"[3, 4, 5]",736950,75394,144,144
smartphone,2,"[6, 7, 8]",741873,70471,144,144
smartphone,3,"[9, 10, 11]",738200,74144,144,144
smartphone,4,"[12, 13, 14]",734349,77995,144,144
smartphone,5,"[15, 16, 17]",725501,86843,144,144
smartphone,6,"[18, 19, 20]",724475,87869,144,144
smartphone,7,"[21, 22, 23]",728259,84085,144,144
smartphone,8,"[24, 25, 26]",721781,90563,144,144
smartphone,9,"[27, 28, 29]",726653,85691,144,144
