fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24,,515316,120,471.78601455688477,58790,120,53.823978424072266,525.6122589111328
1,catch24,,511358,120,468.16235733032227,62748,120,57.447635650634766,525.6122589111328
2,catch24,,520048,120,476.11828994750977,54058,120,49.491703033447266,525.6122589111328
3,catch24,,514391,120,470.939151763916,59715,120,54.670841217041016,525.6122589111328
4,catch24,,513701,120,470.3074378967285,60405,120,55.302555084228516,525.6122589111328
5,catch24,,518868,120,475.03796768188477,55238,120,50.572025299072266,525.6122589111328
6,catch24,,517154,120,473.46875381469727,56952,120,52.141239166259766,525.6122589111328
7,catch24,,518652,120,474.84021377563477,55454,120,50.769779205322266,525.6122589111328
8,catch24,,519925,120,476.0056800842285,54181,120,49.604312896728516,525.6122589111328
9,catch24,,517541,120,473.8230628967285,56565,120,51.786930084228516,525.6122589111328
