fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,10.650664184242487,735998,0.014471050443401324
1,baseline,,9.819310385733843,739893,0.013271257311170457
2,baseline,,10.151698304340243,744816,0.013629806964861447
3,baseline,,9.968637097626925,741143,0.013450355866043293
4,baseline,,10.266470830887556,737292,0.01392456561428519
5,baseline,,9.784247282892466,728444,0.013431708247843987
6,baseline,,9.893043961375952,727418,0.013600218803185998
7,baseline,,9.405465649440885,731202,0.0128630195888973
8,baseline,,9.41504729539156,724724,0.012991217753781523
9,baseline,,9.897659976035357,729596,0.013565946052384273
