acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,n_test
0.3201603695115199,0.2510606710557873,0.10734772280607313,0.150497827479013,0.10119093073140122,0.06974247841620533,79616
0.3062204323248808,0.2488412437035567,0.12219608541941668,0.1497447709369312,0.09824084051083705,0.07475662710437767,75721
0.30323607905475397,0.26266531277448146,0.10500111832992123,0.1521514871725173,0.10742528138485521,0.06952072128347087,70798
0.31189925874047264,0.2516298140910412,0.11580327032652703,0.15198691374968806,0.10118477404999793,0.06749596904227308,74471
0.3190414507719019,0.24088214302768804,0.11892715132353207,0.1516883696123049,0.09970079017386196,0.06976009509071114,78322
0.3058033638557767,0.2586382425258026,0.10735937615233004,0.15381323925778778,0.10236823903003223,0.0720175391782707,87170
0.3275124070889095,0.241644878364045,0.10876644992396438,0.15596898230135764,0.10051727985655173,0.06559000246517165,88196
0.3160621302092178,0.24627681642839724,0.10336809845682211,0.1569013802311877,0.10432212569301702,0.07306944898135813,84412
0.333036471555692,0.23885347000047588,0.11083931552205735,0.15541675726772325,0.09732488098936379,0.06452910466468781,90890
0.3168795633746239,0.2557827476089929,0.1020695486717495,0.15413749655335626,0.10060111589134285,0.07052952789993448,86018
