fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,drift,CUSUM,735998,12,67.38275527954102,79616,12,7.289188385009766,0.0
1,drift,CUSUM,739893,12,67.73935317993164,75721,12,6.932590484619141,0.0
2,drift,CUSUM,744816,12,68.19006729125977,70798,12,6.481876373291016,0.0
3,drift,CUSUM,741143,12,67.85379409790039,74471,12,6.818149566650391,0.0
4,drift,CUSUM,737292,12,67.50122451782227,78322,12,7.170719146728516,0.0
5,drift,CUSUM,728444,12,66.69116592407227,87170,12,7.980777740478516,0.0
6,drift,CUSUM,727418,12,66.59723281860352,88196,12,8.074710845947266,0.0
7,drift,CUSUM,731202,12,66.94366836547852,84412,12,7.728275299072266,0.0
8,drift,CUSUM,724724,12,66.35058975219727,90890,12,8.321353912353516,0.0
9,drift,CUSUM,729596,12,66.79663467407227,86018,12,7.875308990478516,0.0
