acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,score_acc_x,score_acc_y,score_acc_z,score_gyro_x,score_gyro_y,score_gyro_z,n_test
0.17008177855779483,0.13006957888239032,0.06165080402713643,0.06583838990643624,0.047463664854254864,0.05357194310614081,0.08176086587322205,0.09535390992771618,0.06740989731401006,0.11261537651800381,0.07562180126971223,0.03856198976318235,79616
0.16858063755901914,0.12850776628886743,0.0677169828097548,0.06227376889363345,0.048799132420483296,0.056512047548733735,0.07089295497274836,0.09799293158248612,0.07060558279786905,0.11508902280657737,0.07429590780806775,0.0387332645117594,75721
0.17211412177730265,0.1347946394465865,0.052930047296312524,0.0626830921046474,0.048768227568362035,0.05283814307506612,0.07682221486768946,0.10158233796570655,0.06482144222835808,0.11760046303361578,0.07497466408763619,0.040070606548716886,70798
0.17489009648750953,0.12661084801813405,0.064499793091369,0.06309435523040124,0.04338317871940322,0.05504922845096732,0.07319369144141724,0.09550548958618267,0.0754392283597808,0.11687595466999864,0.07394090884207903,0.03751722710275713,74471
0.1781489195455962,0.11894020008941474,0.06725014485269555,0.062334799967452094,0.04554341365107799,0.058472681700192805,0.0829877876793735,0.09132459443247679,0.06832654841939782,0.11451566130332112,0.07504663002193836,0.037108618337063116,78322
0.16863698599623825,0.1328233353315565,0.055443043833832896,0.06340047750118076,0.047082662971970335,0.05361378971679265,0.08172696824749744,0.10681405064595832,0.06307033017175795,0.11349682307194335,0.0760802057802778,0.037811326730993994,87170
0.17615617687748936,0.12353047315203396,0.05713569056883862,0.06447036512084901,0.04477301439385408,0.05458813305628379,0.08631847775077857,0.09609528784116751,0.06636017824654032,0.12163932504089989,0.07136577358611898,0.03756710436514583,88196
0.17196680959177058,0.1243073535074048,0.05542122782851831,0.06483448319499027,0.047639269078430226,0.05380535892201528,0.07670232563034848,0.10179869850229069,0.0669225843458883,0.12400728995696259,0.07286752106833484,0.039727078373045614,84412
0.17270567125565822,0.12577765820157547,0.05984097642646266,0.06350696696299228,0.04565871479332055,0.0528795882242589,0.07657562974809322,0.098757662983299,0.0688302697236823,0.11832482293697871,0.07831354422598272,0.03882849451769583,90890
0.1673774451101198,0.13225205531451723,0.056538912349812114,0.06695100798521715,0.045855010013443685,0.054752609960769465,0.07849945901379621,0.10077901987801816,0.06610056757449292,0.11481123457624173,0.07785528917503327,0.03822738904853851,86018
