fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,drift,CUSUM,59.33675357699394,735998,0.08062080817745965
1,drift,CUSUM,58.51346035115421,739893,0.07908367879024968
2,drift,CUSUM,58.37837812118232,744816,0.07837959727124863
3,drift,CUSUM,58.6702025718987,741143,0.07916178466490097
4,drift,CUSUM,58.69029217399657,737292,0.07960250779066716
5,drift,CUSUM,57.241559060290456,728444,0.07858058966823868
6,drift,CUSUM,59.39029461145401,727418,0.08164534643279932
7,drift,CUSUM,57.80723509006202,731202,0.07905781861928991
8,drift,CUSUM,59.26463527418673,724724,0.08177545558610827
9,drift,CUSUM,58.24864708259702,729596,0.07983685091831234
