scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.6776010603038226
catch24_drift_ot,ADWIN,0.9035056942665861
drift_ot,PageHinkley,0.7338485956545221
catch24_drift_ot,PageHinkley,0.9309974474880806
drift_ot,KSWIN,0.5997194123672281
catch24_drift_ot,KSWIN,0.8852932752355878
drift_ot,CUSUM,0.7319164099335683
catch24_drift_ot,CUSUM,0.9324697838313611
drift_ot,EWMAChart,0.5628570073922282
catch24_drift_ot,EWMAChart,0.8668417984545
drift_ot,GeometricMovingAverage,0.7078619590538878
catch24_drift_ot,GeometricMovingAverage,0.9276451044430214
drift_ot,HDDMAverage,0.6827946200333516
catch24_drift_ot,HDDMAverage,0.8907625110492384
drift_ot,HDDMWeighted,0.511233487148916
catch24_drift_ot,HDDMWeighted,0.8255121526461014
drift_ot,SEED,0.6785874885168706
catch24_drift_ot,SEED,0.9116022331057018
