scenario,detector,top1_fi,top1_fi_val
baseline,,acc_x,0.3164606770668918
catch24,,acc_x__mean,0.09531927689785943
drift,CUSUM,acc_x,0.17203725180584642
catch24_drift,CUSUM,acc_x__mean,0.0483800367842071
