classe,f1_medio,f1_desvio
0,0.3241977756084756,0.1437773160234916
1,0.6175619463145321,0.41457550956520256
2,0.29037597295165307,0.44269226936637734
3,0.5580567408619395,0.4626479100744717
4,0.7910086850217085,0.16032893522712885
5,0.6416575393814808,0.26917421165925387
6,0.8067979493758728,0.1541389104046546
7,0.8662038067253665,0.10993367335042574
8,0.6894289433891142,0.22674626872557685
9,0.7373980414520364,0.306485842739815
10,0.5590754464309915,0.41357772285858846
11,0.75905754331524,0.2390494934341303
12,0.5859579478272413,0.36416462966328206
