fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.528296210492212,0.528296210492212,0.6143923619927886,24
1,0.5715453144054593,0.5715453144054593,0.6290448560589155,24
2,0.4941489382867343,0.4941489382867343,0.5227354932051879,24
3,0.771947620373989,0.771947620373989,0.8001619813982652,24
4,0.6361059794557765,0.6361059794557765,0.6820774305464294,24
5,0.7116968370866975,0.7116968370866975,0.76256960478066,24
6,0.5829658878276706,0.5829658878276706,0.6448247806125414,24
7,0.4472621198995099,0.4472621198995099,0.5016255498183209,24
8,0.6648698441721156,0.6648698441721156,0.6679533508541393,24
9,0.9194522777349523,0.9194522777349523,0.9222428419936374,24
