fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,42.054268358275294,515676,0.0815517269725085
1,catch24,,40.24234172143042,511718,0.07864163801435639
2,catch24,,40.88531910814345,520408,0.07856397116905092
3,catch24,,41.432592401281,514751,0.0804905525220563
4,catch24,,41.43236183188856,514061,0.08059814269491083
5,catch24,,41.2225936409086,519228,0.07939208525138976
6,catch24,,40.36138913594186,517514,0.07799091258582737
7,catch24,,40.917964747175574,519012,0.07883818629853563
8,catch24,,40.86523885652423,520285,0.0785439496747441
9,catch24,,42.83734909631312,517901,0.08271339328619393
