fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,5.817047189921141,254136,0.0228895047923991
1,baseline,,5.590774159878492,251323,0.0222453741196726
2,baseline,,5.302297662943602,253656,0.0209034978985066
3,baseline,,5.411868236958981,252286,0.021451322058929
4,baseline,,5.320804450660944,250681,0.0212253998135516
5,baseline,,5.552956581115723,252555,0.0219871179787203
6,baseline,,5.523150786757469,252988,0.0218316710150579
7,baseline,,5.543371984735131,252043,0.0219937549732987
0,catch24,,34.42309298552573,253233,0.1359344674095624
1,catch24,,34.76073817908764,250420,0.138809752332432
2,catch24,,36.50618925876916,252753,0.1444342471059459
3,catch24,,34.38406470231712,251383,0.1367795940947364
4,catch24,,34.13836237974465,249778,0.1366748167562581
5,catch24,,34.00556581839919,251652,0.135129328669747
6,catch24,,34.132720498368144,252085,0.1354016323794281
7,catch24,,34.52566637657583,251140,0.1374757759678897
0,drift,SEED,8.617880951613188,254136,0.0339105083562076
1,drift,SEED,8.444547083228827,251323,0.033600375147634
2,drift,SEED,8.46209030970931,253656,0.0333604973259426
3,drift,SEED,8.487854370847344,252286,0.0336437787703136
4,drift,SEED,8.279521541669965,250681,0.0330281175744071
5,drift,SEED,8.272480858489871,252555,0.0327551656411073
6,drift,SEED,8.162916753441095,252988,0.0322660235008818
7,drift,SEED,8.53994445875287,252043,0.0338828868834003
0,catch24_drift,HDDMAverage,34.760052835568786,253233,0.1372650990809601
1,catch24_drift,HDDMAverage,33.50883688405156,250420,0.1338105458192299
2,catch24_drift,HDDMAverage,34.45954974927008,252753,0.1363368575220475
3,catch24_drift,HDDMAverage,34.34440639987588,251383,0.1366218336159401
4,catch24_drift,HDDMAverage,34.55194131471217,249778,0.1383306028341654
5,catch24_drift,HDDMAverage,34.248934051021934,251652,0.1360964111194106
6,catch24_drift,HDDMAverage,34.49607573635876,252085,0.1368430320580707
7,catch24_drift,HDDMAverage,34.52497047558427,251140,0.1374730049995391
