dataset,cenario,detector,tipo,n,rank_no_tipo,feature,mdi
pamap2_hand,drift,SEED,score,13,4,score_hand_mag_x,0.070789
pamap2_hand,drift,SEED,score,13,5,score_hand_acc6_y,0.057094
pamap2_hand,drift,SEED,score,13,6,score_hand_acc16_z,0.049505
pamap2_hand,drift,SEED,score,13,7,score_hand_acc16_y,0.048016
pamap2_hand,drift,SEED,score,13,8,score_hand_gyro_x,0.026861
pamap2_hand,drift,SEED,score,13,9,score_hand_gyro_y,0.010837
pamap2_hand,drift,SEED,score,13,10,score_hand_gyro_z,0.009306
pamap2_hand,drift,SEED,score,13,11,score_hand_acc16_x,0.007584
pamap2_hand,drift,SEED,score,13,12,score_hand_temperature,0.007565
pamap2_hand,drift,SEED,score,13,13,score_hand_acc6_x,0.005507
pamap2_hand,drift,SEED,original,13,1,hand_acc6_x,0.105073
pamap2_hand,drift,SEED,original,13,2,hand_acc16_x,0.094909
pamap2_hand,drift,SEED,original,13,3,hand_mag_x,0.085611
pamap2_hand,drift,SEED,original,13,4,hand_mag_z,0.035368
pamap2_hand,drift,SEED,original,13,5,hand_temperature,0.034662
pamap2_hand,drift,SEED,original,13,6,hand_acc6_z,0.031203
pamap2_hand,drift,SEED,original,13,7,hand_mag_y,0.030764
pamap2_hand,drift,SEED,original,13,8,hand_acc16_z,0.030405
pamap2_hand,drift,SEED,original,13,9,hand_acc6_y,0.006156
pamap2_hand,drift,SEED,original,13,10,hand_acc16_y,0.005438
pamap2_hand,drift,SEED,original,13,11,hand_gyro_z,0.003266
pamap2_hand,drift,SEED,original,13,12,hand_gyro_y,0.001444
pamap2_hand,drift,SEED,original,13,13,hand_gyro_x,0.000237
pamap2_hand,catch24_drift,HDDMAverage,score,13,1,score_hand_gyro_x,0.055956
pamap2_hand,catch24_drift,HDDMAverage,score,13,2,score_hand_gyro_z,0.055115
pamap2_hand,catch24_drift,HDDMAverage,score,13,3,score_hand_gyro_y,0.043693
pamap2_hand,catch24_drift,HDDMAverage,score,13,4,score_hand_mag_y,0.030045
pamap2_hand,catch24_drift,HDDMAverage,score,13,5,score_hand_mag_x,0.025922
pamap2_hand,catch24_drift,HDDMAverage,score,13,6,score_hand_mag_z,0.022401
pamap2_hand,catch24_drift,HDDMAverage,score,13,7,score_hand_acc16_y,0.020543
pamap2_hand,catch24_drift,HDDMAverage,score,13,8,score_hand_acc6_y,0.019786
pamap2_hand,catch24_drift,HDDMAverage,score,13,9,score_hand_temperature,0.018724
pamap2_hand,catch24_drift,HDDMAverage,score,13,10,score_hand_acc16_z,0.014378
pamap2_hand,catch24_drift,HDDMAverage,score,13,11,score_hand_acc16_x,0.012272
pamap2_hand,catch24_drift,HDDMAverage,score,13,12,score_hand_acc6_z,0.011613
pamap2_hand,catch24_drift,HDDMAverage,score,13,13,score_hand_acc6_x,0.010545
