left_wrist_acc_x,left_wrist_acc_y,left_wrist_acc_z,left_wrist_gyro_x,left_wrist_gyro_y,n_test
0.3279346247553212,0.06379553150731074,0.1869464397278281,0.1993926874100055,0.22193071659953453,59048
0.33318446519587774,0.0628364056707604,0.1866118123321498,0.18843960077098715,0.22892771603022474,63006
0.3165878582771709,0.0669967156921762,0.19767030613472525,0.1905877953682111,0.22815732452771664,54316
0.3270277716382176,0.08112139143897396,0.18358755259862525,0.18779099264429847,0.2204722916798847,59973
0.34314254426211266,0.06755641688766739,0.18629031874599197,0.18926094567403232,0.21374977443019566,60663
0.32625278818924314,0.069915756588786,0.18974630180141264,0.18861982620207096,0.2254653272184871,55496
0.341750434653662,0.07046121691814348,0.15936735229722065,0.1981587363217615,0.23026225980921242,57210
0.3492217001381396,0.06010089751409755,0.17742269202890645,0.19133948284738983,0.22191522747146655,55712
0.3426330969639319,0.06766520784619387,0.17603458281532033,0.19544532518322108,0.2182217871913328,54439
0.3430281125029837,0.06425390946324305,0.17122065193364763,0.1985044635836483,0.22299286251647737,56823
