scenario,detector,top1_fi,top1_fi_val
baseline,,ankle_acc6_x,0.151600091337662
catch24,,ankle_acc6_x__mean,0.057183982945139655
drift,KSWIN,score_ankle_mag_x,0.15633091929032036
catch24_drift,KSWIN,ankle_acc16_x__mean,0.041424434732657715
