fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,10.445047497749329,254136,0.0411002278219116
1,baseline,,9.761092320084572,251323,0.0388388341699111
2,baseline,,10.233439965173602,253656,0.0403437725311981
3,baseline,,9.723418161273004,252286,0.0385412514419072
4,baseline,,9.865316277369857,250681,0.0393540646374071
5,baseline,,10.016657331958411,252555,0.0396612909344832
6,baseline,,9.984836863353848,252988,0.0394676303356437
7,baseline,,9.73476972617209,252043,0.038623448086922
0,catch24,,37.09487832337618,253233,0.146485167112407
1,catch24,,36.37514545954764,250420,0.1452565508327914
2,catch24,,37.0762544926256,252753,0.1466896713100362
3,catch24,,37.1710177809,251383,0.1478660759912166
4,catch24,,36.75258791446686,249778,0.1471410128773024
5,catch24,,37.07378511875868,251652,0.1473216390839678
6,catch24,,37.63904833234847,252085,0.1493109400890512
7,catch24,,36.2838054522872,251140,0.1444764093823652
0,drift,KSWIN,12.879554398357868,254136,0.0506797714544884
1,drift,KSWIN,12.739763414487244,251323,0.0506907979551702
2,drift,KSWIN,12.496822452172635,253656,0.0492668119507231
3,drift,KSWIN,12.120654990896584,252286,0.0480433119193953
4,drift,KSWIN,12.29074327647686,250681,0.04902941697407
5,drift,KSWIN,12.322775295004249,252555,0.0487924424184999
6,drift,KSWIN,12.32635522633791,252988,0.0487230826218552
7,drift,KSWIN,12.146758135408165,252043,0.0481931977297848
0,catch24_drift,KSWIN,40.146711245179176,253233,0.158536649035391
1,catch24_drift,KSWIN,39.94125258177519,250420,0.15949705527424
2,catch24_drift,KSWIN,40.233776319772005,252753,0.1591821909918853
3,catch24_drift,KSWIN,40.24071015417576,251383,0.1600772930316519
4,catch24_drift,KSWIN,39.8063980974257,249778,0.1593671103837235
5,catch24_drift,KSWIN,39.76223355717957,251652,0.1580048382575126
6,catch24_drift,KSWIN,41.10635784454644,252085,0.1630654653967766
7,catch24_drift,KSWIN,39.7249701153487,251140,0.1581785861087389
