scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.2942845237350708
catch24_drift_ot,ADWIN,0.3123645764150017
drift_ot,PageHinkley,0.3014175935025882
catch24_drift_ot,PageHinkley,0.3399792605193677
drift_ot,KSWIN,0.2916118375989611
catch24_drift_ot,KSWIN,0.31695640044226475
drift_ot,CUSUM,0.32434248277402417
catch24_drift_ot,CUSUM,0.3142795509571192
drift_ot,EWMAChart,0.27479186264377825
catch24_drift_ot,EWMAChart,0.31394050734099205
drift_ot,GeometricMovingAverage,0.26200428355648503
catch24_drift_ot,GeometricMovingAverage,0.31576802503327434
drift_ot,HDDMAverage,0.2859674778619791
catch24_drift_ot,HDDMAverage,0.3057929108969539
drift_ot,HDDMWeighted,0.2581599248479987
catch24_drift_ot,HDDMWeighted,0.31576802503327434
drift_ot,SEED,0.29733739171950824
catch24_drift_ot,SEED,0.39148917151471846
