fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,47.4780223723501,515316,0.09213380211821504
1,catch24,,49.04007560759783,511358,0.09590164934859302
2,catch24,,48.31289117783308,520048,0.0929008306499267
3,catch24,,48.868542071431875,514391,0.09500271597176442
4,catch24,,48.3044157307595,513701,0.09403216215417043
5,catch24,,48.49530774913728,518868,0.09346367043089433
6,catch24,,48.41727154888213,517154,0.09362254096242537
7,catch24,,48.102684427052736,518652,0.0927455874595157
8,catch24,,48.40447795204818,519925,0.09309896225811065
9,catch24,,47.27414838038385,517541,0.09134377446498702
