run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_recorrente_D_,0,[0],53093,4847,96,96
I_recorrente_D_,1,[1],52997,4943,96,96
I_recorrente_D_,2,[2],52949,4991,96,96
I_recorrente_D_,3,[3],53125,4815,96,96
I_recorrente_D_,4,[4],53253,4687,96,96
I_recorrente_D_,5,[5],53189,4751,96,96
I_recorrente_D_,6,[6],52997,4943,96,96
I_recorrente_D_,7,[7],53141,4799,96,96
I_recorrente_D_,8,[8],53205,4735,96,96
I_recorrente_D_,9,[9],52949,4991,96,96
I_recorrente_D_,10,[10],53173,4767,96,96
I_recorrente_D_,11,[11],53269,4671,96,96
I_recorrente_D_,0,[0],53093,4847,96,96
I_recorrente_D_,1,[1],52997,4943,96,96
I_recorrente_D_,2,[2],52949,4991,96,96
I_recorrente_D_,3,[3],53125,4815,96,96
I_recorrente_D_,4,[4],53253,4687,96,96
I_recorrente_D_,5,[5],53189,4751,96,96
I_recorrente_D_,6,[6],52997,4943,96,96
I_recorrente_D_,7,[7],53141,4799,96,96
I_recorrente_D_,8,[8],53205,4735,96,96
I_recorrente_D_,9,[9],52949,4991,96,96
I_recorrente_D_,10,[10],53173,4767,96,96
I_recorrente_D_,11,[11],53269,4671,96,96
