fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24_drift,KSWIN,515676,130,511.4585609436035,58830,130,58.34897232055664,525.9784698486328
1,catch24_drift,KSWIN,511718,130,507.53293228149414,62788,130,62.274600982666016,525.9784698486328
2,catch24_drift,KSWIN,520408,130,516.1518592834473,54098,130,53.65567398071289,525.9784698486328
3,catch24_drift,KSWIN,514751,130,510.5411262512207,59755,130,59.26640701293945,525.9784698486328
4,catch24_drift,KSWIN,514061,130,509.8567695617676,60445,130,59.95076370239258,525.9784698486328
5,catch24_drift,KSWIN,519228,130,514.9815101623535,55278,130,54.82602310180664,525.9784698486328
6,catch24_drift,KSWIN,517514,130,513.2815284729004,56992,130,56.526004791259766,525.9784698486328
7,catch24_drift,KSWIN,519012,130,514.767276763916,55494,130,55.04025650024414,525.9784698486328
8,catch24_drift,KSWIN,520285,130,516.0298652648926,54221,130,53.77766799926758,525.9784698486328
9,catch24_drift,KSWIN,517901,130,513.6653633117676,56605,130,56.14216995239258,525.9784698486328
