scenario,detector,top1_fi,top1_fi_val
baseline,,right_ankle_acc_x,0.4028296589087887
catch24,,right_ankle_acc_x__mean,0.09153787284117525
drift,GeometricMovingAverage,score_right_ankle_acc_z,0.284635726264805
catch24_drift,CUSUM,right_ankle_acc_x__mean,0.05555282419028448
